id;secure_key;gift;gift_message;cart_state
1;mobile Fish;true;Savings Account Dam;CLAIMED
2;Metal deposit;false;transmitter Implementation Electronics;CLAIMED
3;Home Namibia;false;Gorgeous Frozen Pants;CLAIMED
4;Savings Account syndicate Planner;false;HDD;CLOSED
5;envisioneer Music Public-key;false;Bahamian Dollar Investment Account;CLAIMED
6;copy convergence;false;Georgia Industrial;UNCLAIMED
7;capacitor archive;true;Aruba;UNCLAIMED
8;Louisiana Specialist Home Loan Account;false;scalable;CLAIMED
9;deliverables reinvent 24 hour;false;magenta monitor 1080p;CLOSED
10;generating Highway Ergonomic;false;Lempira;CLAIMED
