id;title;description;model;features;lang;product_id
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;10
2;Electronics;Soap methodology Albania;Home Namibia;Steel zero administration;Multi-channelled Licensed;7
3;syndicate;Mississippi Refined Rubber Chicken Table;Automotive;Planner cross-platform access;Public-key;3
4;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;9
5;Views e-enable Communications;National Awesome sky blue;Tactics;scale interactive generating;Specialist Home Loan Account;3
6;scalable;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;10
7;deposit Internal;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;9
8;hard drive Robust Networked;Poland;Small partnerships;Outdoors;Harbor Montana;7
9;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;Salad Web virtual;Refined Squares;3
10;e-business;Ghana back-end National;Direct;Profit-focused;Jewelery cutting-edge;4
