id;title;description;brand;model;features;jhi_group;variation_attributes;other_attributes;lang;product_id
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Home Loan Account;1
2;web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Table Small Frozen Sausages Planner;2
3;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;copy convergence;Mayotte;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Industrial;3
4;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Small;4
5;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;New York tangible Mississippi;5
6;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;Outdoors;Harbor Montana;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Corporate Phased relationships;6
7;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;withdrawal;7
8;copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Buckinghamshire capability zero tolerance;8
9;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Re-contextualized;9
10;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Sausages;10
