id;product_name;quantity;price;comment;sequence;shipping_instructions;order_id
1;mobile Fish;77969;59865;Table Computer;5808;FTP Savings Account;1
2;deposit Tasty Metal Bacon Implementation;77;18182;Soap methodology Albania;43194;intangible;2
3;enable Gorgeous Frozen Pants;23277;45606;bluetooth;19967;Cambridgeshire Mississippi;3
4;HDD;68030;17052;Small Frozen Sausages Planner;80839;access Intelligent;4
5;Monitored Bahamian Dollar Investment Account;83319;3438;Regional;25877;invoice;5
6;convergence;20794;54671;Chair Facilitator;77513;Markets Chief;6
7;capacitor archive;57044;19598;Tasty Plastic Pizza scale;27134;generating compelling;7
8;Home Loan Account;27599;14092;back-end;7455;Administrator;8
9;reinvent 24 hour Jewelery;19884;70685;application quantify Unbranded Plastic Tuna;11586;IB Investment Account archive;9
10;envisioneer;66884;32518;pixel withdrawal;88721;Junction Frozen;10
