id;ref;parent;sku;upc;price;image;images;release_date;active;similar_products;url;title;brand;jhi_group;updated;created;jhi_condition;is_used;available_for_order;weight;volume_weight
1;37454;79654;Fish multi-byte Savings Account;44583;15599;Practical Fresh Pants;../fake-data/blob/hipster.txt;2019-12-21;false;../fake-data/blob/hipster.txt;https://mac.com;Producer;Implementation Electronics Officer;methodology Albania;2019-12-22T03:51:15;2019-12-22T13:40:02;LIKENEW;false;false;29214;97375
2;36636;23277;Licensed Savings Account;38246;51423;Mississippi Refined Rubber Chicken Table;../fake-data/blob/hipster.txt;2019-12-22;false;../fake-data/blob/hipster.txt;https://trystan.org;cross-platform access;Public-key;infomediaries;2019-12-22T11:17:31;2019-12-21T23:34:52;LIKENEW;false;false;66252;75536
3;31171;42515;sky blue Georgia;3131;96958;connect Markets Chief;../fake-data/blob/hipster.txt;2019-12-21;true;../fake-data/blob/hipster.txt;https://erick.com;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;2019-12-22T01:11:47;2019-12-22T07:35:49;NEW;false;false;98688;42340
4;77224;39488;24 hour;1407;81546;monitor;../fake-data/blob/hipster.txt;2019-12-21;true;../fake-data/blob/hipster.txt;https://lempi.com;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;2019-12-21T20:42:38;2019-12-22T00:01:47;LIKENEW;false;true;71324;84891
5;76078;72172;Robust Networked;4043;52273;partnerships Grocery Intelligent;../fake-data/blob/hipster.txt;2019-12-22;true;../fake-data/blob/hipster.txt;https://jarrell.biz;Buckinghamshire Corporate;Investment Account;override User-centric;2019-12-22T12:22:24;2019-12-21T23:50:54;FAIR;true;true;80812;29563
6;63340;10549;Squares mint green e-business;88328;53934;back-end;../fake-data/blob/hipster.txt;2019-12-21;false;../fake-data/blob/hipster.txt;http://sven.com;Profit-focused;Jewelery cutting-edge;Games;2019-12-22T01:57:47;2019-12-22T01:24:10;LIKENEW;false;false;94290;16829
7;32320;21876;Oklahoma facilitate;6489;97178;Functionality;../fake-data/blob/hipster.txt;2019-12-22;true;../fake-data/blob/hipster.txt;http://merritt.biz;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;2019-12-22T08:28:17;2019-12-21T21:53:03;VERYGOOD;true;true;24205;59269
8;67213;8085;24/7 Re-contextualized cross-platform;47030;63230;withdrawal Solomon Islands Licensed;../fake-data/blob/hipster.txt;2019-12-21;false;../fake-data/blob/hipster.txt;http://joey.biz;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;2019-12-21T21:38:19;2019-12-22T04:40:45;GOOD;false;true;11347;20907
9;92469;54144;Fiji Dollar Profound Bacon;98216;55520;Equatorial Guinea Vision-oriented;../fake-data/blob/hipster.txt;2019-12-22;true;../fake-data/blob/hipster.txt;https://keara.org;deposit B2B cross-media;programming SCSI drive;invoice Unbranded Cheese;2019-12-21T16:39:21;2019-12-21T22:09:55;FAIR;true;true;506;28392
10;16080;30536;Buckinghamshire Ports;99445;22426;driver;../fake-data/blob/hipster.txt;2019-12-22;false;../fake-data/blob/hipster.txt;http://chaya.net;payment calculating;local area network Benin;turn-key dedicated;2019-12-22T08:21:55;2019-12-22T00:03:51;VERYGOOD;true;false;50263;64510
