id;reference;invoice_date;delivery_date;state;currency
1;mobile Fish;2019-12-21;2019-12-21;AWAITING_PAYMENT;FTP Savings Account
2;deposit Tasty Metal Bacon Implementation;2019-12-22;2019-12-22;IN_PROGRESS;intangible
3;enable Gorgeous Frozen Pants;2019-12-22;2019-12-22;CONTACTED;Cambridgeshire Mississippi
4;HDD;2019-12-21;2019-12-22;SHIPPED;access Intelligent
5;Monitored Bahamian Dollar Investment Account;2019-12-21;2019-12-22;PAYMENT_AUTHORIZED;invoice
6;convergence;2019-12-22;2019-12-22;DELIVERED;Markets Chief
7;capacitor archive;2019-12-22;2019-12-22;PAYMENT_AUTHORIZED;generating compelling
8;Home Loan Account;2019-12-22;2019-12-22;AWAITING_PAYMENT;Administrator
9;reinvent 24 hour Jewelery;2019-12-22;2019-12-21;CONTACTED;IB Investment Account archive
10;envisioneer;2019-12-21;2019-12-22;SHIPPED;Junction Frozen
